"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25057","SPEC: test","spec","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--desktop--registered--en.spec.ts","",""
"","18411","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--tablet--guest--en.spec.ts","",""
"","21421","SPEC: _home — Test Cases Navigation","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--desktop--guest--en.spec.ts","",""
"","33001","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-incorrect--mobile--guest--en.spec.ts","",""
"","35556","SPEC: _home — Logout User","spec","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--mobile--registered--en.spec.ts","",""
"","36522","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--tablet--guest--en.spec.ts","",""
"","32811","SPEC: test","spec","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--tablet--guest--en.spec.ts","",""
"","5239","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--desktop--registered--en.spec.ts","",""
"","20688","SPEC: _home — Logout User","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--desktop--registered--en.spec.ts","",""
"","17976","SPEC: products — Verify All Products","desktop","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--desktop--guest--en.spec.ts","",""
"","18548","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","products/ideal/search-product--mobile--guest--en.spec.ts","",""
"","21728","SPEC: login — Register with existing email","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--desktop--guest--en.spec.ts","",""
"","20078","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--tablet--guest--en.spec.ts","",""
"","32210","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--tablet--guest--en.spec.ts","",""
"","11092","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--registered--en.spec.ts","",""
"","15285","SPEC: _home — Subscription","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--desktop--guest--en.spec.ts","",""
"","24131","SPEC: _home — Logout User","spec","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--tablet--registered--en.spec.ts","",""
